Title,store,description,"sale commission","click url",destination,"link id","link type","coupon code","promotion type","promotion start date","promotion end date"
"Wang Brooks","Heimdal Security Affiliate Program","<p>In id, et et laborio.</p>",50%,#,#,545454,,dddd,coupon,"2021-04-14 00:00:00","2021-04-30 00:00:00"
"10% off on web development service",TRS,,10%,https://therightsw.com,https://therightsw.com,252444,,Ramzan,coupon,"2021-04-15 00:00:00","2021-04-30 00:00:00"
"Save EXTRA on AC: Valhalla with -6% OFF code!",Kinguin,,"2.50% - 5.00%",https://www.tkqlhce.com/click-100179843-14368920-1610369434000,https://www.kinguin.net/cjaffiliate/index/index/ref/cj/?URL=https://www.kinguin.net/category/79123/assassin-s-creed-valhalla-eu-uplay-cd-key,14368920,"Text Link",VALHALLA,Coupon,"2020-11-02 01:05:00","2021-04-15 00:00:00"
"⚽ Save on FIFA 21 & Get 6-month discount on FUT points!",Kinguin,"New FIFA is here! Start Your Road to Stardom. Extra -3% code: WINASONE + BONUS: 6-month discount on FUT points with your FIFA 21 order! Save on FIFA 21, get FUT points for less. Get 4% OFF on FUT points for 6 months with FIFA 21!","2.50% - 5.00%",https://www.kqzyfj.com/click-100179843-14343689-1610367016000,https://www.kinguin.net/cjaffiliate/index/index/ref/cj/?URL=https://www.kinguin.net/category/77692/fifa-21-origin-cd-key,14343689,"Text Link",WINASONE,Coupon,"2020-10-08 01:05:00","2021-06-01 14:55:00"
"🤑 Get up to 90% off on best games, extra 8% code: SAVER",Kinguin,"Buy best selling games at a great price with instant delivery. Hot gamedeals for PC and console, extra 8% code: SAVER
","2.50% - 5.00%",https://www.anrdoezrs.net/click-100179843-14328805-1610366637000,https://www.kinguin.net/cjaffiliate/index/index/ref/cj/?URL=https://www.kinguin.net/,14328805,"Text Link",SAVER,Coupon,"2020-09-18 01:05:00","2021-06-01 14:55:00"
"✨ Save up to 30% on Cyberpunk 2077 - Instant Delivery! ",Kinguin,"Cyberpunk 2077 game. No more waiting! Cyberpunk 2077 has arrived. You're a minute away from owning the #1 awaited game of all time. Save up to 30% today and buy it with a 6% discount code: CYBERPUNK.

Check out our other special Cyberpunk 2077 deals: https://deal.kinguin.net","2.50% - 5.00%",https://www.kqzyfj.com/click-100179843-14408218-1610370126000,https://www.kinguin.net/cjaffiliate/index/index/ref/cj/?URL=https://www.kinguin.net/category/64435/cyberpunk-2077-gog-cd-key,14408218,"Text Link",CYBERPUNK,Coupon,"2020-12-04 01:05:00","2021-06-01 14:55:00"
"❤️ Playstation Network Card €12 DE PSN for €9,19 with code",Kinguin,"Cheap Playstation Network Card €12 DE PSN for €9,19 with code: SAVER","2.50% - 5.00%",https://www.tkqlhce.com/click-100179843-14398284-1610369706000,https://www.kinguin.net/cjaffiliate/index/index/ref/cj/?URL=https://www.kinguin.net/category/76875/playstation-network-card-a-12-de,14398284,"Text Link",SAVER,Coupon,"2020-11-25 04:05:00","2021-06-01 14:55:00"
"15% Off Stiewide Easter Super Sale",Knowfashionstyle.com,"15% Off Coupon Code Eas15 For Easter Sale",11.00%,https://www.jdoqocy.com/click-100179843-14487745-1616405478000,https://www.knowfashionstyle.com/Easter-0319-AFF-tp16388.html,14487745,"Text Link",Eas15,Coupon,"2021-03-22 02:30:00","2021-04-30 01:00:00"
"Up To 45% Off Backless Slit Halter Sleeveless Dress",Knowfashionstyle.com,"Up To 45% Off Backless Slit Halter Sleeveless Dress",11.00%,https://www.tkqlhce.com/click-100179843-14486471-1616137578000,https://www.knowfashionstyle.com/Red-Fashion-Sexy-Plus-Size-Print-Backless-Slit-Halter-Sleeveless-Dress-p1381839.html,14486471,Banner,Plus,Coupon,"2021-03-19 00:00:00","2021-06-30 01:00:00"
"12% OFF Category Coupon for Tops",Knowfashionstyle.com,"12% OFF Coupon for All kinds of Women  Tops.",11.00%,https://www.jdoqocy.com/click-100179843-14082289-1611631255000,https://www.knowfashionstyle.com/TOPS-c9121.html,14082289,"Text Link",Tops,Coupon,"2020-06-28 02:44:00","2021-05-30 09:00:00"
